patch_id,tile_name,split,naip_path,lidar_year,naip_year,year_gap,gap_flag,naip_width,naip_height,naip_resolution_m,naip_valid_fraction,naip_has_nir,status,error
legacy_USGS_LPC_OR_WesternWildfires_A22_s04380w14100_r001024_c001024,USGS_LPC_OR_WesternWildfires_A22_s04380w14100.laz,validation,patches\validation\legacy_USGS_LPC_OR_WesternWildfires_A22_s04380w14100_r001024_c001024.npz,2024,2022,-2,False,854,854,0.5995316159250585,1.0,True,ok,
legacy_USGS_LPC_OR_WesternWildfires_A22_s04560w14400_r000000_c000128,USGS_LPC_OR_WesternWildfires_A22_s04560w14400.laz,train,patches\train\legacy_USGS_LPC_OR_WesternWildfires_A22_s04560w14400_r000000_c000128.npz,2024,2022,-2,False,854,854,0.5995316159250585,1.0,True,ok,
legacy_USGS_LPC_OR_WesternWildfires_A22_s04560w14400_r000384_c000768,USGS_LPC_OR_WesternWildfires_A22_s04560w14400.laz,train,patches\train\legacy_USGS_LPC_OR_WesternWildfires_A22_s04560w14400_r000384_c000768.npz,2024,2022,-2,False,854,854,0.5995316159250585,1.0,True,ok,
legacy_USGS_LPC_OR_WesternWildfires_A22_s04560w14400_r000512_c000256,USGS_LPC_OR_WesternWildfires_A22_s04560w14400.laz,train,patches\train\legacy_USGS_LPC_OR_WesternWildfires_A22_s04560w14400_r000512_c000256.npz,2024,2022,-2,False,854,854,0.5995316159250585,1.0,True,ok,
legacy_USGS_LPC_OR_WesternWildfires_A22_s04560w14400_r000512_c001024,USGS_LPC_OR_WesternWildfires_A22_s04560w14400.laz,train,patches\train\legacy_USGS_LPC_OR_WesternWildfires_A22_s04560w14400_r000512_c001024.npz,2024,2022,-2,False,854,854,0.5995316159250585,1.0,True,ok,
legacy_USGS_LPC_OR_WesternWildfires_A22_s04560w14400_r001536_c000128,USGS_LPC_OR_WesternWildfires_A22_s04560w14400.laz,train,patches\train\legacy_USGS_LPC_OR_WesternWildfires_A22_s04560w14400_r001536_c000128.npz,2024,2022,-2,False,854,854,0.5995316159250585,1.0,True,ok,
legacy_USGS_LPC_OR_WesternWildfires_A22_s04620w13770_r000000_c001152,USGS_LPC_OR_WesternWildfires_A22_s04620w13770.laz,train,patches\train\legacy_USGS_LPC_OR_WesternWildfires_A22_s04620w13770_r000000_c001152.npz,2024,2022,-2,False,854,854,0.5995316159250585,1.0,True,ok,
legacy_USGS_LPC_OR_WesternWildfires_A22_s04620w13770_r000896_c000256,USGS_LPC_OR_WesternWildfires_A22_s04620w13770.laz,train,patches\train\legacy_USGS_LPC_OR_WesternWildfires_A22_s04620w13770_r000896_c000256.npz,2024,2022,-2,False,854,854,0.5995316159250585,1.0,True,ok,
legacy_USGS_LPC_OR_WesternWildfires_A22_s04620w13770_r000896_c000512,USGS_LPC_OR_WesternWildfires_A22_s04620w13770.laz,train,patches\train\legacy_USGS_LPC_OR_WesternWildfires_A22_s04620w13770_r000896_c000512.npz,2024,2022,-2,False,854,854,0.5995316159250585,1.0,True,ok,
legacy_USGS_LPC_OR_WesternWildfires_A22_s04620w13770_r001280_c000640,USGS_LPC_OR_WesternWildfires_A22_s04620w13770.laz,train,patches\train\legacy_USGS_LPC_OR_WesternWildfires_A22_s04620w13770_r001280_c000640.npz,2024,2022,-2,False,854,854,0.5995316159250585,1.0,True,ok,
