patch_id,split,category,coverage_class,tile_name,channel,count,min,p10,p25,median,p75,p90,max,mean,std
legacy_USGS_LPC_OR_WesternWildfires_A22_s04380w14100_r000896_c000896,validation,negative,negative,USGS_LPC_OR_WesternWildfires_A22_s04380w14100.laz,local_relief,65536,-13.7578125,-4.3671875,-0.9208984375,0.940185546875,2.91015625,5.40625,11.25,0.7720481385476887,3.6895109376621664
legacy_USGS_LPC_OR_WesternWildfires_A22_s04380w14100_r000896_c000896,validation,negative,negative,USGS_LPC_OR_WesternWildfires_A22_s04380w14100.laz,slope_degrees,65536,0.0,1.958984375,7.01953125,17.421875,32.1875,42.125,78.6875,20.419926965376362,15.772527975298358
legacy_USGS_LPC_OR_WesternWildfires_A22_s04380w14100_r000896_c000896,validation,negative,negative,USGS_LPC_OR_WesternWildfires_A22_s04380w14100.laz,aspect_sin,65536,-1.0,-0.98681640625,-0.8681640625,0.0,0.720703125,0.96875,1.0,-0.07091628809757822,0.7526579244364814
legacy_USGS_LPC_OR_WesternWildfires_A22_s04380w14100_r000896_c000896,validation,negative,negative,USGS_LPC_OR_WesternWildfires_A22_s04380w14100.laz,aspect_cos,65536,-1.0,-0.91650390625,-0.53271484375,0.00812530517578125,0.609375,0.9794921875,1.0,0.040539542103033455,0.6533292880188001
legacy_USGS_LPC_OR_WesternWildfires_A22_s04380w14100_r000896_c000896,validation,negative,negative,USGS_LPC_OR_WesternWildfires_A22_s04380w14100.laz,curvature,65536,-1.9560546875,-0.1583251953125,-0.0623779296875,0.0,0.05942535400390625,0.15185546875,2.05859375,-0.0017856769200079725,0.17706736040964088
legacy_USGS_LPC_OR_WesternWildfires_A22_s04380w14100_r000896_c000896,validation,negative,negative,USGS_LPC_OR_WesternWildfires_A22_s04380w14100.laz,multidirectional_hillshade,65536,145.25,194.375,203.875,213.5,217.0,217.625,217.625,208.9137840270996,10.920781605278778
legacy_USGS_LPC_OR_WesternWildfires_A22_s04380w14100_r000896_c000896,validation,negative,negative,USGS_LPC_OR_WesternWildfires_A22_s04380w14100.laz,tri,65536,0.0,0.061767578125,0.174560546875,0.4176025390625,0.80810546875,1.13623046875,6.09765625,0.5512469984041672,0.5253900912347882
legacy_USGS_LPC_OR_WesternWildfires_A22_s04380w14100_r001024_c000128,validation,negative,negative,USGS_LPC_OR_WesternWildfires_A22_s04380w14100.laz,local_relief,65536,-10.9609375,-3.53515625,-2.40625,-0.6474609375,2.134765625,4.7578125,13.125,-0.011727803852409124,3.1932238495842777
legacy_USGS_LPC_OR_WesternWildfires_A22_s04380w14100_r001024_c000128,validation,negative,negative,USGS_LPC_OR_WesternWildfires_A22_s04380w14100.laz,slope_degrees,65536,0.0,7.68359375,14.1328125,22.6640625,32.5,42.375,74.1875,24.039156460174127,13.339614663947378
legacy_USGS_LPC_OR_WesternWildfires_A22_s04380w14100_r001024_c000128,validation,negative,negative,USGS_LPC_OR_WesternWildfires_A22_s04380w14100.laz,aspect_sin,65536,-1.0,-0.4532470703125,-0.0072574615478515625,0.4647216796875,0.86083984375,0.97998046875,1.0,0.3588678537271335,0.546799439155395
